t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,14,-1,,male,2019-05-09_13:39,0.08567254198715091,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,-1,right,1,0
1,14,-1,,male,2019-05-09_13:39,0.4002017769962549,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,-1,right,0,0
2,14,-1,,male,2019-05-09_13:39,0.0373884349828586,1,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",-1,-1,right,3,0
3,14,-1,,male,2019-05-09_13:39,0.23395908204838634,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,1,right,2,0
0,14,2,,male,2019-05-09_13:39,4.74947684595827,left,-1,-1,-1,-1,-1,-1,1,1
1,14,2,,male,2019-05-09_13:39,1.2799864634871483e-06,-0.2,-1,-1,-1,-1,-1,-1,0,1
2,14,2,,male,2019-05-09_13:39,1.5300465747714043e-06,-0.2,-1,-1,-1,-1,-1,-1,3,1
3,14,2,,male,2019-05-09_13:39,1.635984517633915e-06,0.1,-1,-1,-1,-1,-1,-1,2,1
