t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,16,-1,,male,2019-05-13_18:32,0.45017224503681064,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,1,right,1,0
1,16,-1,,male,2019-05-13_18:32,0.3413967408705503,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,left,2,0
2,16,-1,,male,2019-05-13_18:32,0.30180965294130147,1,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",1,-1,right,3,0
3,16,-1,,male,2019-05-13_18:32,0.20711008901707828,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,right,0,0
0,16,0,,male,2019-05-13_18:32,0.6787449661642313,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,1,left,1,1
