t,subject_id,elicitation,age,gender,date,debug,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,63,-1,,male,2020-02-19_15:29,1,0.5948666231706738,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,right,0,1
1,63,-1,,male,2020-02-19_15:29,1,0.2649167268536985,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,right,0,1
2,63,-1,,male,2020-02-19_15:29,1,0.09979688283056021,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,right,0,1
3,63,-1,,male,2020-02-19_15:29,1,0.4934551198966801,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,-1,right,1,1
4,63,-1,,male,2020-02-19_15:29,1,0.5676574711687863,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,-1,right,1,1
5,63,-1,,male,2020-02-19_15:29,1,0.5904112621210515,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,-1,right,1,1
6,63,-1,,male,2020-02-19_15:29,1,0.8603377789258957,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,1,right,2,1
7,63,-1,,male,2020-02-19_15:29,1,1.2074592649005353,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,-1,right,2,1
8,63,-1,,male,2020-02-19_15:29,1,0.5723196319304407,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,1,right,2,1
9,63,-1,,male,2020-02-19_15:29,1,0.30694813607260585,1,1,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",1,-1,right,3,1
10,63,-1,,male,2020-02-19_15:29,1,0.6125861587934196,2,0,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",-1,1,right,3,1
11,63,-1,,male,2020-02-19_15:29,1,0.28192708967253566,2,0,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",-1,-1,right,3,1
0,63,1,,male,2020-02-19_15:29,1,1.1027080588974059,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,-1,left,0,1
1,63,1,,male,2020-02-19_15:29,1,0.5024492158554494,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,left,0,1
2,63,1,,male,2020-02-19_15:29,1,0.614872220903635,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,right,0,1
3,63,1,,male,2020-02-19_15:29,1,0.5862515489570796,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,-1,right,1,1
4,63,1,,male,2020-02-19_15:29,1,0.8371639121323824,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,-1,right,1,1
5,63,1,,male,2020-02-19_15:29,1,10.35189013229683,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,-1,right,1,1
