t,subject_id,elicitation,age,gender,date,debug,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,57,1,,male,2020-02-18_18:59,1,0.8898128480650485,1,1,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",1,-1,left,3,1
1,57,1,,male,2020-02-18_18:59,1,0.961724063847214,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,left,0,1
2,57,1,,male,2020-02-18_18:59,1,1.1999727366492152,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,1,left,1,1
3,57,1,,male,2020-02-18_18:59,1,0.4356544860638678,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,-1,left,2,1
4,57,1,,male,2020-02-18_18:59,1,0.42307777190580964,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,left,2,1
5,57,1,,male,2020-02-18_18:59,1,0.6104700011201203,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,left,0,1
6,57,1,,male,2020-02-18_18:59,1,1.2790278387255967,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,1,left,1,1
7,57,1,,male,2020-02-18_18:59,1,0.4317165622487664,1,1,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",1,-1,left,3,1
8,57,1,,male,2020-02-18_18:59,1,0.4346730001270771,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,left,0,1
9,57,1,,male,2020-02-18_18:59,1,0.6446240008808672,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,left,2,1
10,57,1,,male,2020-02-18_18:59,1,0.47706183791160583,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,1,left,1,1
11,57,1,,male,2020-02-18_18:59,1,2.3101653018966317,1,1,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",1,-1,left,3,1
