t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,23,0,,male,2020-01-30_15:43,1.4016416410449892,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,1,left,1,1
1,23,0,,male,2020-01-30_15:43,0.6175441789673641,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,right,2,1
2,23,0,,male,2020-01-30_15:43,0.5456821650732309,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,left,0,1
3,23,0,,male,2020-01-30_15:43,0.00526658003218472,1,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",1,1,right,3,1
