t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,17,-1,,male,2019-05-13_18:33,0.4537314858753234,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,1,right,2,0
1,17,-1,,male,2019-05-13_18:33,0.14521667710505426,1,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",-1,1,right,3,0
2,17,-1,,male,2019-05-13_18:33,0.10549266310408711,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,right,0,0
3,17,-1,,male,2019-05-13_18:33,0.06704327696934342,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,1,right,1,0
0,17,2,,male,2019-05-13_18:33,2.2619497030973434e-06,-1.0,-1,-1,-1,-1,-1,-1,2,1
1,17,2,,male,2019-05-13_18:33,1.149950549006462e-06,0.5,-1,-1,-1,-1,-1,-1,3,1
2,17,2,,male,2019-05-13_18:33,2.525048330426216e-06,-1.0,-1,-1,-1,-1,-1,-1,0,1
