t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,13,-1,,male,2019-05-09_13:38,0.2102219930384308,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,right,0,0
1,13,-1,,male,2019-05-09_13:38,0.008127523004077375,1,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",-1,1,right,3,0
2,13,-1,,male,2019-05-09_13:38,0.15785792900715023,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,-1,right,1,0
3,13,-1,,male,2019-05-09_13:38,0.11745586595498025,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,1,right,2,0
