t,subject_id,elicitation,age,gender,date,debug,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,64,-1,,male,2020-02-19_15:35,1,0.5228354427963495,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,left,0,1
1,64,-1,,male,2020-02-19_15:35,1,0.40359051525592804,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,left,0,1
2,64,-1,,male,2020-02-19_15:35,1,0.41698826802894473,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,left,0,1
3,64,-1,,male,2020-02-19_15:35,1,0.253940861672163,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,-1,left,1,1
4,64,-1,,male,2020-02-19_15:35,1,0.1374772978015244,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,1,left,1,1
5,64,-1,,male,2020-02-19_15:35,1,0.025864867959171534,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,-1,left,1,1
6,64,-1,,male,2020-02-19_15:35,1,0.49519693199545145,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,1,left,2,1
7,64,-1,,male,2020-02-19_15:35,1,0.10512261185795069,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,left,2,1
8,64,-1,,male,2020-02-19_15:35,1,0.5147666628472507,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,1,left,2,1
9,64,-1,,male,2020-02-19_15:35,1,0.2596007497049868,1,1,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",-1,-1,left,3,1
10,64,-1,,male,2020-02-19_15:35,1,0.23935998929664493,1,1,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",1,-1,left,3,1
11,64,-1,,male,2020-02-19_15:35,1,0.22775884764268994,1,1,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",-1,-1,left,3,1
0,64,1,,male,2020-02-19_15:35,1,0.8270431431010365,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,left,0,1
1,64,1,,male,2020-02-19_15:35,1,0.40658847987651825,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,left,0,1
2,64,1,,male,2020-02-19_15:35,1,0.3869212372228503,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,left,0,1
3,64,1,,male,2020-02-19_15:35,1,0.28820834308862686,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,1,left,1,1
4,64,1,,male,2020-02-19_15:35,1,1.6481410427950323,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,1,right,1,1
5,64,1,,male,2020-02-19_15:35,1,1.9597019832581282,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,-1,right,1,1
6,64,1,,male,2020-02-19_15:35,1,0.3890624297782779,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,left,2,1
7,64,1,,male,2020-02-19_15:35,1,0.7301714331842959,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,left,2,1
8,64,1,,male,2020-02-19_15:35,1,0.7291184067726135,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,left,2,1
9,64,1,,male,2020-02-19_15:35,1,0.6876833960413933,1,1,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",1,-1,left,3,1
10,64,1,,male,2020-02-19_15:35,1,0.6006974535994232,1,1,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",1,-1,left,3,1
11,64,1,,male,2020-02-19_15:35,1,2.25332165742293,1,1,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",1,-1,left,3,1
