t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,3,2,,male,2019-05-09_11:54,0.4342556690098718,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,-1,right,1,0
1,3,2,,male,2019-05-09_11:54,0.10233267501462251,1,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",-1,1,right,3,0
2,3,2,,male,2019-05-09_11:54,0.11998305201996118,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,1,right,2,0
3,3,2,,male,2019-05-09_11:54,0.4330928750569001,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,1,right,0,0
0,3,2,,male,2019-05-09_11:54,2.4259788915514946e-06,-0.6,-1,-1,-1,-1,-1,-1,1
1,3,2,,male,2019-05-09_11:54,1.8120044842362404e-06,-0.6,-1,-1,-1,-1,-1,-1,1
