t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,52,1,,male,2020-02-18_18:40,1.0742096868343651,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,right,0,1
1,52,1,,male,2020-02-18_18:40,0.503693659324199,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,1,left,2,1
2,52,1,,male,2020-02-18_18:40,1.516842923592776,2,0,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",-1,-1,left,3,1
3,52,1,,male,2020-02-18_18:40,0.9438598803244531,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,-1,left,1,1
