t,subject_id,elicitation,age,gender,date,debug,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,62,-1,,male,2020-02-19_15:28,1,0.8884703707881272,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,1,right,1,1
1,62,-1,,male,2020-02-19_15:28,1,0.5222853762097657,2,0,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",-1,1,left,3,1
2,62,-1,,male,2020-02-19_15:28,1,0.4110800758935511,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,right,2,1
3,62,-1,,male,2020-02-19_15:28,1,0.42463275929912925,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,right,0,1
