t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,28,1,,male,2020-01-30_15:52,1.2515715770423412,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,-1,right,1,1
1,28,1,,male,2020-01-30_15:52,0.3777787770377472,2,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",1,1,left,3,1
2,28,1,,male,2020-01-30_15:52,0.03509211400523782,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,right,2,1
3,28,1,,male,2020-01-30_15:52,3.03508805797901,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,left,0,1
