t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,55,1,,male,2020-02-18_18:50,0.9489461053162813,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,1,left,2,1
1,55,1,,male,2020-02-18_18:50,0.6472422578372061,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,-1,left,1,1
2,55,1,,male,2020-02-18_18:50,0.7980552101507783,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,-1,left,0,1
3,55,1,,male,2020-02-18_18:50,0.5822234861552715,1,1,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",1,-1,left,3,1
4,55,1,,male,2020-02-18_18:50,1.3281549271196127,2,0,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",-1,1,left,3,1
5,55,1,,male,2020-02-18_18:50,0.5651210038922727,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,1,left,2,1
6,55,1,,male,2020-02-18_18:50,0.42953253258019686,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,left,0,1
7,55,1,,male,2020-02-18_18:50,0.5970494216307998,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,1,left,1,1
8,55,1,,male,2020-02-18_18:50,1.5738605600781739,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,left,0,1
9,55,1,,male,2020-02-18_18:50,0.47898939484730363,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,-1,left,1,1
10,55,1,,male,2020-02-18_18:50,2.3895019460469484,2,0,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",-1,-1,left,3,1
11,55,1,,male,2020-02-18_18:50,0.7959562609903514,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,-1,left,2,1
