t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,10,-1,,male,2019-05-09_13:31,1.1224903219845146,1,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",1,-1,right,3,0
1,10,-1,,male,2019-05-09_13:31,0.27459695597644895,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,-1,right,2,0
2,10,-1,,male,2019-05-09_13:31,0.285633473074995,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,-1,left,1,0
3,10,-1,,male,2019-05-09_13:31,0.3197568750474602,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,right,0,0
