t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,47,1,,male,2020-02-18_18:34,4.586743755731732,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,left,0,1
1,47,1,,male,2020-02-18_18:34,6.272928925231099,1,1,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",1,-1,right,3,1
2,47,1,,male,2020-02-18_18:34,0.7226307261735201,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,-1,right,1,1
3,47,1,,male,2020-02-18_18:34,0.6781070246361196,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,1,left,2,1
