t,subject_id,elicitation,age,gender,date,debug,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,61,1,,male,2020-02-18_19:17,1,0.7643752163276076,1,1,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",1,-1,right,3,1
1,61,1,,male,2020-02-18_19:17,1,0.49714402202516794,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,1,left,2,1
2,61,1,,male,2020-02-18_19:17,1,0.6816565417684615,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,1,left,1,1
3,61,1,,male,2020-02-18_19:17,1,1.6588272633962333,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,right,0,1
4,61,1,,male,2020-02-18_19:17,1,0.492207407951355,1,1,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",1,-1,left,3,1
