t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,4,2,,male,2019-05-09_11:55,0.2935373929794878,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,right,2,0
1,4,2,,male,2019-05-09_11:55,0.19975498795975,2,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",1,-1,right,3,0
2,4,2,,male,2019-05-09_11:55,0.013467074022628367,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,right,0,0
3,4,2,,male,2019-05-09_11:55,0.3945693529676646,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,-1,right,1,0
0,4,2,,male,2019-05-09_11:55,2.688029780983925e-06,0.2,-1,-1,-1,-1,-1,-1,1,
1,4,2,,male,2019-05-09_11:55,2.0050210878252983e-06,-0.4,-1,-1,-1,-1,-1,-1,1,
2,4,2,,male,2019-05-09_11:55,2.0209699869155884e-06,-0.5,-1,-1,-1,-1,-1,-1,1,
,,,,,,,,,,,,,,,
