t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,15,-1,,male,2019-05-09_15:27,0.5358017870457843,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,-1,right,1,0
1,15,-1,,male,2019-05-09_15:27,0.20003544597420841,2,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",-1,1,right,3,0
2,15,-1,,male,2019-05-09_15:27,0.12547798198647797,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,right,0,0
3,15,-1,,male,2019-05-09_15:27,0.086519515956752,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,-1,right,2,0
0,15,2,,male,2019-05-09_15:27,2.317945472896099e-06,1.0,-1,-1,-1,-1,-1,-1,1,1
1,15,2,,male,2019-05-09_15:27,2.3139873519539833e-06,-0.6,-1,-1,-1,-1,-1,-1,3,1
