t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,22,0,,male,2020-01-30_15:40,1.49772867502179,1,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",1,1,left,3,1
1,22,0,,male,2020-01-30_15:40,4.229027076042257,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,-1,right,1,1
2,22,0,,male,2020-01-30_15:40,0.36201884609181434,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,1,left,0,1
3,22,0,,male,2020-01-30_15:40,0.10837359505239874,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,-1,right,2,1
