t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,9,-1,,male,2019-05-09_12:03,0.5216552579076961,1,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",1,-1,right,3,0
1,9,-1,,male,2019-05-09_12:03,0.27434179303236306,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,right,0,0
2,9,-1,,male,2019-05-09_12:03,0.25324632902629673,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,right,2,0
3,9,-1,,male,2019-05-09_12:03,0.36893086694180965,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,1,right,1,0
0,9,2,,male,2019-05-09_12:03,2.1739397197961807e-06,0.3,-1,-1,-1,-1,-1,-1,3,1
1,9,2,,male,2019-05-09_12:03,1.7120037227869034e-06,0.5,-1,-1,-1,-1,-1,-1,0,1
2,9,2,,male,2019-05-09_12:03,2.635992132127285e-06,-0.6,-1,-1,-1,-1,-1,-1,2,1
