t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,5,0,,male,2019-05-09_11:58,0.4921392370015383,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,-1,right,1,0
1,5,0,,male,2019-05-09_11:58,0.150291555095464,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,-1,right,2,0
2,5,0,,male,2019-05-09_11:58,0.41386296099517494,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,right,0,0
3,5,0,,male,2019-05-09_11:58,0.03467616101261228,2,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",1,-1,right,3,0
0,5,0,,male,2019-05-09_11:58,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,-1,left,1
1,5,0,,male,2019-05-09_11:58,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,left,1
2,5,0,,male,2019-05-09_11:58,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,left,1
3,5,0,,male,2019-05-09_11:58,1,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",-1,-1,left,1
