t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,5,0,,male,2019-05-09_11:57,0.5511215949663892,1,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",1,-1,right,3,0
1,5,0,,male,2019-05-09_11:57,0.28622064797673374,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,right,0,0
2,5,0,,male,2019-05-09_11:57,0.0806193050229922,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,1,right,1,0
3,5,0,,male,2019-05-09_11:57,0.043057995033450425,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,1,right,2,0
