t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,25,1,,male,2020-01-30_15:47,0.8663980509154499,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,right,2,1
1,25,1,,male,2020-01-30_15:47,0.28014701197389513,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,right,0,1
2,25,1,,male,2020-01-30_15:47,0.32567661500070244,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,1,right,1,1
3,25,1,,male,2020-01-30_15:47,0.1061603450216353,1,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",1,-1,right,3,1
