t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,11,-1,,male,2019-05-09_13:37,0.06425592908635736,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,1,right,2,0
1,11,-1,,male,2019-05-09_13:37,0.01153931999579072,1,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",1,1,right,3,0
2,11,-1,,male,2019-05-09_13:37,0.049379267962649465,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,1,right,1,0
3,11,-1,,male,2019-05-09_13:37,0.5251985141076148,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,right,0,0
