t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,53,1,,male,2020-02-18_18:41,1.4025223478674889,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,1,right,2,1
1,53,1,,male,2020-02-18_18:41,0.7463256069459021,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,-1,right,1,1
2,53,1,,male,2020-02-18_18:41,0.6368894567713141,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,-1,left,0,1
3,53,1,,male,2020-02-18_18:41,2.5642737299203873,2,0,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",-1,1,right,3,1
