t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,49,1,,male,2020-02-18_18:36,1.3062255079858005,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,right,0,1
1,49,1,,male,2020-02-18_18:36,0.6462260079570115,2,0,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",-1,1,left,3,1
2,49,1,,male,2020-02-18_18:36,0.4136618650518358,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,1,right,1,1
3,49,1,,male,2020-02-18_18:36,4.2296884269453585,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,-1,right,2,1
