t,subject_id,elicitation,age,gender,date,debug,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,60,1,,male,2020-02-18_19:16,1,0.824363938998431,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,1,left,1,1
1,60,1,,male,2020-02-18_19:16,1,0.6837611440569162,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,-1,right,2,1
2,60,1,,male,2020-02-18_19:16,1,0.6128186606802046,2,0,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",-1,1,right,3,1
3,60,1,,male,2020-02-18_19:16,1,0.5209752949886024,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,1,right,0,1
4,60,1,,male,2020-02-18_19:16,1,0.4888442028313875,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,-1,right,1,1
