t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,7,2,,male,2019-05-09_11:59,0.398915738100186,1,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",1,-1,right,3,0
1,7,2,,male,2019-05-09_11:59,0.2124992279568687,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,right,0,0
2,7,2,,male,2019-05-09_11:59,0.10580488108098507,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,1,right,1,0
3,7,2,,male,2019-05-09_11:59,0.051588200964033604,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,right,2,0
0,7,2,,male,2019-05-09_11:59,2.1280720829963684e-06,0.3,-1,-1,-1,-1,-1,-1,3,1
1,7,2,,male,2019-05-09_11:59,1.827022060751915e-06,0.3,-1,-1,-1,-1,-1,-1,0,1
2,7,2,,male,2019-05-09_11:59,2.2829044610261917e-06,0.3,-1,-1,-1,-1,-1,-1,1,1
3,7,2,,male,2019-05-09_11:59,2.0330771803855896e-06,0.2,-1,-1,-1,-1,-1,-1,2,1
,,,,,,,,,,,,,,,
