t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,27,1,,male,2020-01-30_15:51,0.5526542720617726,2,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",-1,1,right,3,1
1,27,1,,male,2020-01-30_15:51,0.16237268596887589,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,right,2,1
2,27,1,,male,2020-01-30_15:51,0.12565862806513906,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,1,right,1,1
3,27,1,,male,2020-01-30_15:51,0.25816021696664393,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,right,0,1
