t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,19,-1,,male,2020-01-30_15:18,1.1667433950351551,2,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",-1,1,right,3,0
1,19,-1,,male,2020-01-30_15:18,0.1654665219830349,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,left,0,0
2,19,-1,,male,2020-01-30_15:18,0.004228861071169376,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,-1,right,2,0
3,19,-1,,male,2020-01-30_15:18,0.6177450579125434,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,-1,left,1,0
0,19,0,,male,2020-01-30_15:18,0.7501093490282074,1,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",-1,-1,left,3,1
1,19,0,,male,2020-01-30_15:18,0.331645873025991,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,left,0,1
2,19,0,,male,2020-01-30_15:18,0.2952185720205307,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,-1,left,2,1
3,19,0,,male,2020-01-30_15:18,0.828245118027553,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,1,left,1,1
