t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,20,-1,,male,2020-01-30_15:20,1.4651620540535077,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,right,0,0
1,20,-1,,male,2020-01-30_15:20,0.07520204898901284,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,left,2,0
2,20,-1,,male,2020-01-30_15:20,0.038292397977784276,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,1,right,1,0
3,20,-1,,male,2020-01-30_15:20,0.3308232059935108,2,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",1,1,right,3,0
0,20,0,,male,2020-01-30_15:20,0.6935051640029997,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,left,0,1
1,20,0,,male,2020-01-30_15:20,0.6741615789942443,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,1,left,2,1
2,20,0,,male,2020-01-30_15:20,6.432155956979841,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,-1,left,1,1
3,20,0,,male,2020-01-30_15:20,0.4749355879612267,1,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",1,1,left,3,1
