t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,21,-1,,male,2020-01-30_15:32,0.6198358510155231,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,right,0,0
1,21,-1,,male,2020-01-30_15:32,0.5524915520800278,1,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",1,1,right,3,0
2,21,-1,,male,2020-01-30_15:32,0.03182780195493251,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,1,right,1,0
3,21,-1,,male,2020-01-30_15:32,0.804189846967347,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,1,right,2,0
0,21,0,,male,2020-01-30_15:32,1.243842004914768,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,right,0,1
1,21,0,,male,2020-01-30_15:32,0.07417477190028876,1,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",1,-1,right,3,1
2,21,0,,male,2020-01-30_15:32,0.2404602769529447,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,-1,right,1,1
3,21,0,,male,2020-01-30_15:32,0.016373232938349247,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,-1,right,2,1
